20220510	17:02:43 	 20ca5f74-1957-4eb0-8458-a23502eace38 	 GET 	 undefined 	/states/ny/funfact
20220510	17:02:45 	 429f7bca-0027-4c00-b70a-5ae0b1de5da8 	 GET 	 undefined 	/states/ny/funfact
20220510	17:02:46 	 2de50887-70bf-4000-82ce-b4530bd68e92 	 GET 	 undefined 	/states/ny/funfact
20220510	17:02:48 	 f8c4eb0b-f02c-4aa6-8c5a-41f5d13522ad 	 GET 	 undefined 	/states/ny/funfact
20220510	17:03:38 	 23fd734d-9fd9-4c59-8876-cd3c1590ed34 	 GET 	 undefined 	/states
20220510	17:04:24 	 719a6b25-6728-4d60-9dd6-0be07ce5ab59 	 GET 	 undefined 	/states
20220510	17:05:00 	 f1d398f3-df96-4c68-8e1d-4e53d2c195aa 	 GET 	 undefined 	/states
20220510	17:05:52 	 f088a491-41e1-435f-bd21-f9a8ebbbaa51 	 GET 	 undefined 	/states
20220510	17:07:04 	 8474289b-4e60-4c63-80b3-29028048702b 	 GET 	 undefined 	/states
20220510	17:08:25 	 54f615fb-3d79-4959-96c0-45d605222f8c 	 GET 	 undefined 	/states
20220511	14:39:55 	 c4838adf-be2f-4e65-a5bc-062d3d846f1a 	 GET 	 undefined 	/states/ks
20220511	14:40:02 	 f9da649f-27d0-4c39-811d-841c74e08c3b 	 GET 	 undefined 	/states/ny
20220511	14:41:31 	 71e5a443-344a-42c5-851e-cdca64ccbd9b 	 PATCH 	 undefined 	/states/ny
20220511	14:43:14 	 f43e3198-220b-43d3-aa3f-4050ab6768a4 	 PATCH 	 undefined 	/states/ny/funfact
20220511	14:47:16 	 2f0def31-c092-4b45-b73e-03e3cdda1d17 	 PATCH 	 undefined 	/states/ny/funfact
20220511	14:47:39 	 0765d9e6-f9ee-43a5-81df-9c8b4842bbdd 	 GET 	 undefined 	/states/ny
20220511	14:48:38 	 c3ba8624-64a4-4d43-89ac-6e69d2a5faf2 	 PATCH 	 undefined 	/states/ny/funfact
20220511	14:48:50 	 bff84a44-4b0d-403b-988b-378babb02386 	 GET 	 undefined 	/states/ny
20220511	14:51:26 	 27609a64-cb14-4306-96ac-d4847bd54b78 	 PATCH 	 undefined 	/states/ny/funfact
20220511	14:52:23 	 1ac399de-1714-458b-9cbd-464a31e3c03d 	 PATCH 	 undefined 	/states/ny/funfact
20220511	14:58:33 	 012c61ed-1431-4640-b4c9-ce1e1cba1a23 	 PATCH 	 undefined 	/states/ny/funfact
20220511	14:59:13 	 26ad450f-a459-4829-a246-cbeeda03c419 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:07:56 	 e1240229-05d4-4149-b3f7-e00b17a7ba93 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:09:14 	 1550f275-4c05-4e01-a9ee-6556074e74e9 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:10:08 	 76179717-c91f-41f3-9dda-b59939488df3 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:12:05 	 ecfe3c43-1a8a-4085-bd6a-8a2084c6c7f3 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:14:12 	 ae04915d-32f0-490c-be5a-9361794d96d3 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:16:48 	 f6d54516-4623-4fc5-9368-0485c1543af2 	 GET 	 undefined 	/states/ny/
20220511	15:17:43 	 93a68097-a389-425d-8ed6-1986539389c0 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:32:16 	 3cda6108-8fbe-4a4f-9657-17dcb3eb7198 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:37:49 	 6c0f0681-39d9-41e6-a205-120df424273e 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:38:25 	 2bb3e5cb-3d40-489f-8a7e-632ed0cb28ec 	 PATCH 	 undefined 	/states/ny/funfact
20220511	15:41:47 	 2f7f590b-f1a3-465a-928d-9f26931d6e56 	 POST 	 undefined 	/states/ny/funfact
20220511	15:41:55 	 e33b933e-1f91-45a6-8831-11c27ebca7f2 	 POST 	 undefined 	/states/ny/funfact
20220511	15:42:31 	 8c2a4f12-8b07-4cc0-af3a-4843cfcd165f 	 POST 	 undefined 	/states/ny/funfact
